,epoch,precision,recall,AP,F1
0,0,0.018082727,0.571144279,0.020776165,0.035055576
1,1,0.109722477,0.594029851,0.276591573,0.185231151
2,2,0.087167689,0.678606965,0.199391972,0.154490882
3,3,0.065398887,0.140298507,0.015165087,0.089212275
4,4,0.109099496,0.689552239,0.209049762,0.188392008
5,5,0.067952433,0.676616915,0.080584106,0.123501635
6,6,0.099288123,0.527363184,0.218184604,0.167113353
7,7,0.052038403,0.744278607,0.159371384,0.097275506
8,8,0.049151457,0.305472637,0.02542132,0.084677975
9,9,0.045292222,0.517412935,0.043710449,0.083293288
10,10,0.091992313,0.714427861,0.274065684,0.162996595
11,11,0.052709661,0.600995025,0.141608055,0.096919127
12,12,0.039238801,0.463681592,0.048289049,0.072354631
13,13,0.096665369,0.741293532,0.506521908,0.171028466
14,14,0.045137679,0.773134328,0.188110174,0.085295571
15,15,0.030881815,0.839800995,0.162372764,0.059572966
16,16,0.210015649,0.667661692,0.438240497,0.31952381
17,17,0.054860355,0.60199005,0.07147455,0.100556802
18,18,0.138803942,0.812935323,0.360254187,0.237120882
19,19,0.05372143,0.820895522,0.451767889,0.100843418
20,20,0.21474173,0.736318408,0.474750719,0.332509548
21,21,0.080481879,0.791044776,0.370250826,0.146099421
22,22,0.132342407,0.735323383,0.281200325,0.224313249
23,23,0.089295248,0.665671642,0.198403428,0.157467341
24,24,0.193765586,0.773134328,0.488424739,0.309870389
25,25,0.178082192,0.827860697,0.677060125,0.293112559
26,26,0.038295944,0.672636816,0.177852301,0.072466099
27,27,0.071948556,0.590049751,0.087781166,0.128257813
28,28,0.040802084,0.872636816,0.446496506,0.07795902
29,29,0.125655594,0.572139303,0.101896643,0.206056262
30,30,0.086703802,0.712437811,0.114693515,0.154593544
31,31,0.09575743,0.795024876,0.242366726,0.170927372
32,32,0.129310345,0.850746269,0.438089684,0.224497834
33,33,0.180609672,0.784079602,0.512199552,0.293591654
34,34,0.172608258,0.852736318,0.60472997,0.287102178
35,35,0.167575607,0.672636816,0.221116006,0.268307204
36,36,0.144660705,0.820895522,0.593505118,0.245974955
37,37,0.164096481,0.825870647,0.643414308,0.273791852
38,38,0.193704044,0.83880597,0.618861001,0.314728393
39,39,0.09077527,0.552238806,0.083146673,0.155920775
40,40,0.239452361,0.852736318,0.591512991,0.37390925
41,41,0.250228589,0.816915423,0.596024702,0.383107793
42,42,0.173386157,0.740298507,0.367767447,0.280966767
43,43,0.412878788,0.650746269,0.471261557,0.505214368
44,44,0.103227366,0.849751244,0.389501051,0.184091399
45,45,0.19934818,0.730348259,0.386194495,0.313206742
46,46,0.200584938,0.818905473,0.642721708,0.322239624
47,47,0.174467196,0.830845771,0.499302949,0.288378518
48,48,0.219691403,0.892537313,0.715603928,0.35259434
49,49,0.102269504,0.717412935,0.286475223,0.179019243
50,50,0.117781777,0.71641791,0.301902065,0.202304018
51,51,0.165475961,0.852736318,0.440131133,0.277166882
52,52,0.267588695,0.885572139,0.693731624,0.410990533
53,53,0.117129187,0.608955224,0.310342376,0.1964687
54,54,0.220098166,0.847761194,0.645354193,0.349466776
55,55,0.277335033,0.865671642,0.454077703,0.420086915
56,56,0.227677436,0.890547264,0.727985048,0.362641815
57,57,0.352376981,0.84079602,0.654280626,0.496620629
58,58,0.2,0.87761194,0.623241562,0.325761773
59,59,0.111338469,0.92039801,0.616149648,0.198647053
60,60,0.19757326,0.858706468,0.616088333,0.321235809
61,61,0.315610089,0.921393035,0.752322446,0.470170094
62,62,0.298788694,0.88358209,0.674784571,0.446567765
63,63,0.177349098,0.850746269,0.571528551,0.293511843
64,64,0.098211382,0.901492537,0.56508739,0.1771261
65,65,0.089531889,0.588059701,0.253931674,0.155403629
66,66,0.251275168,0.931343284,0.575776883,0.39577167
67,67,0.229166667,0.897512438,0.75228581,0.365108278
68,68,0.249526899,0.91840796,0.734502516,0.392431973
69,69,0.332052267,0.859701493,0.736409458,0.479068478
70,70,0.164450036,0.910447761,0.599279199,0.278581215
71,71,0.217070851,0.908457711,0.738373064,0.350412589
72,72,0.166035012,0.915422886,0.734146625,0.281087687
73,73,0.319256757,0.940298507,0.802814711,0.47667087
74,74,0.23664895,0.930348259,0.703309061,0.37732042
75,75,0.237072196,0.944278607,0.649459976,0.37899361
76,76,0.230827639,0.907462687,0.612371277,0.368038741
77,77,0.335711603,0.889552239,0.687801445,0.487459106
78,78,0.314952639,0.926368159,0.673251833,0.470083312
79,79,0.322501747,0.91840796,0.756036322,0.47737264
80,80,0.405013193,0.91641791,0.709450895,0.561756633
81,81,0.278837687,0.945273632,0.771229888,0.430643699
82,82,0.216478191,0.933333333,0.702555588,0.351442488
83,83,0.219831618,0.935323383,0.749712627,0.355993183
84,84,0.099075744,0.874626866,0.612953744,0.177989268
85,85,0.112029647,0.782089552,0.535050899,0.195985538
86,86,0.299147996,0.943283582,0.689348961,0.454240537
87,87,0.227391408,0.953233831,0.692099766,0.367190494
88,88,0.290671761,0.908457711,0.709085711,0.440424506
89,89,0.26241931,0.930348259,0.773357753,0.409369527
90,90,0.230382294,0.911442786,0.769348784,0.367797631
91,91,0.320819113,0.935323383,0.676699038,0.477763659
92,92,0.195825264,0.905472637,0.659788806,0.322009908
93,93,0.082974138,0.919402985,0.511252783,0.152211515
94,94,0.296464483,0.909452736,0.688663988,0.447162427
95,95,0.20966674,0.945273632,0.616581001,0.343208092
96,96,0.322704975,0.91641791,0.734313535,0.477325732
97,97,0.35109138,0.944278607,0.758208635,0.511866235
98,98,0.272997033,0.915422886,0.685319574,0.420571429
99,99,0.210388994,0.882587065,0.527673658,0.339781651
100,100,0.416778825,0.924378109,0.825599056,0.574520717
101,101,0.400179051,0.889552239,0.730986667,0.552022229
102,102,0.168679392,0.861691542,0.577615302,0.28213064
103,103,0.236882323,0.925373134,0.717782589,0.377205435
104,104,0.201225956,0.947263682,0.782954072,0.331938633
105,105,0.241736059,0.953233831,0.686700012,0.385668277
106,106,0.358134156,0.924378109,0.792359373,0.516254515
107,107,0.163520903,0.92238806,0.55367687,0.277794426
108,108,0.393824027,0.926368159,0.780757595,0.552686257
109,109,0.304072096,0.906467662,0.709841758,0.455386153
110,110,0.289201878,0.919402985,0.742144626,0.44
111,111,0.386693548,0.954228856,0.753243564,0.55035868
112,112,0.448969813,0.932338308,0.714273413,0.606080207
113,113,0.177292744,0.921393035,0.505626668,0.297366731
114,114,0.410722399,0.899502488,0.757727269,0.563942608
115,115,0.409071459,0.951243781,0.782391317,0.572112507
116,116,0.358005454,0.914427861,0.774694753,0.514557671
117,117,0.209775491,0.892537313,0.612102777,0.339708389
118,118,0.277306003,0.942288557,0.703520324,0.428506787
119,119,0.361774744,0.949253731,0.795326878,0.523887974
120,120,0.210467953,0.944278607,0.547201485,0.344214726
121,121,0.317671093,0.928358209,0.657115857,0.473363775
122,122,0.345697329,0.927363184,0.753501521,0.503647663
123,123,0.325677065,0.945273632,0.748961159,0.484446711
124,124,0.181525038,0.952238806,0.632628088,0.304922734
125,125,0.267902275,0.949253731,0.617147182,0.417871222
126,126,0.466058764,0.915422886,0.763289824,0.617656932
127,127,0.377838684,0.960199005,0.803424033,0.542287159
128,128,0.389802632,0.943283582,0.734293769,0.551643875
129,129,0.106122449,0.87960199,0.603004834,0.189394751
130,130,0.370004297,0.856716418,0.680360567,0.516806723
131,131,0.355717575,0.92238806,0.734653817,0.513431182
132,132,0.341295693,0.938308458,0.764759284,0.500530786
133,133,0.521111111,0.933333333,0.813006627,0.668805704
134,134,0.464563107,0.952238806,0.823288116,0.624469821
135,135,0.36656558,0.962189055,0.755819058,0.530881142
