D:\Ivan\Test_data\Katipunan\test/VID_20200521_161542_crop.mp4,496,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200530_161507_crop.mp4,552,0.9988
D:/Ivan/Test_data/Katipunan/test/VID_20200602_161933_crop.mp4,579,0.9988
D:/Ivan/Test_data/Katipunan/test/VID_20200605_161506_crop.mp4,440,0.9988
D:/Ivan/Test_data/Katipunan/test/VID_20200611_161534_crop.mp4,918,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200614_161517_crop.mp4,607,0.9988
D:/Ivan/Test_data/Katipunan/test/VID_20200620_161507_crop.mp4,711,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200521_161542_crop.mp4,486,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200530_161507_crop.mp4,544,0.9989
D:/Ivan/Test_data/Katipunan/test/VID_20200602_161933_crop.mp4,565,0.9989
D:/Ivan/Test_data/Katipunan/test/VID_20200605_161506_crop.mp4,423,0.9989
D:/Ivan/Test_data/Katipunan/test/VID_20200611_161534_crop.mp4,885,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200614_161517_crop.mp4,600,0.9989
D:/Ivan/Test_data/Katipunan/test/VID_20200620_161507_crop.mp4,692,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200705_161518_crop.mp4,746,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200708_161553_crop.mp4,702,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200711_161516_crop.mp4,717,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200714_161511_crop.mp4,410,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200717_161614_crop.mp4,433,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200720_161556_crop.mp4,591,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200723_161518_crop.mp4,639,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200726_161509_crop.mp4,713,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200729_161519_crop.mp4,574,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200801_161505_crop.mp4,631,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200705_161518_crop.mp4,753,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200708_161553_crop.mp4,712,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200711_161516_crop.mp4,727,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200714_161511_crop.mp4,427,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200717_161614_crop.mp4,461,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200720_161556_crop.mp4,600,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200723_161518_crop.mp4,647,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200726_161509_crop.mp4,729,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200729_161519_crop.mp4,586,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200801_161505_crop.mp4,643,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200705_161518_crop.mp4,758,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200708_161553_crop.mp4,716,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200711_161516_crop.mp4,728,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200714_161511_crop.mp4,446,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200717_161614_crop.mp4,482,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200720_161556_crop.mp4,614,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200723_161518_crop.mp4,651,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200726_161509_crop.mp4,733,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200729_161519_crop.mp4,595,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200801_161505_crop.mp4,651,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200705_161518_crop.mp4,750,0.986
D:\Ivan\Test_data\Katipunan\test/VID_20200708_161553_crop.mp4,796,0.986
D:\Ivan\Test_data\Katipunan\test/VID_20200711_161516_crop.mp4,743,0.986
D:\Ivan\Test_data\Katipunan\test/VID_20200714_161511_crop.mp4,751,0.986
D:\Ivan\Test_data\Katipunan\test/VID_20200717_161614_crop.mp4,754,0.986
D:\Ivan\Test_data\Katipunan\test/VID_20200720_161556_crop.mp4,715,0.986
D:\Ivan\Test_data\Katipunan\test/VID_20200723_161518_crop.mp4,739,0.986
D:\Ivan\Test_data\Katipunan\test/VID_20200726_161509_crop.mp4,726,0.986
D:\Ivan\Test_data\Katipunan\test/VID_20200729_161519_crop.mp4,723,0.986
D:\Ivan\Test_data\Katipunan\test/VID_20200801_161505_crop.mp4,737,0.986
