D:\Ivan\Test_data\Katipunan\test/VID_20200620_161507_crop.mp4,692,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200617_161508_crop.mp4,1094,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200617_161508_crop.mp4,1124,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200617_161508_crop.mp4,1155,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200617_161508_crop.mp4,1180,0.9986
D:\Ivan\Test_data\Katipunan\test/VID_20200509_161540_crop.mp4,308,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200512_161525_crop.mp4,260,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200515_161547_crop.mp4,192,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200509_161540_crop.mp4,312,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200512_161525_crop.mp4,270,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200515_161547_crop.mp4,198,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200509_161540_crop.mp4,325,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200512_161525_crop.mp4,279,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200515_161547_crop.mp4,203,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200509_161540_crop.mp4,329,0.9986
D:\Ivan\Test_data\Katipunan\test/VID_20200512_161525_crop.mp4,284,0.9986
D:\Ivan\Test_data\Katipunan\test/VID_20200515_161547_crop.mp4,207,0.9986
D:\Ivan\Test_data\Katipunan\test/VID_20200509_161540_crop.mp4,344,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200512_161525_crop.mp4,307,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200515_161547_crop.mp4,233,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200521_161542_crop.mp4,530,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200530_161507_crop.mp4,597,0.9981
D:/Ivan/Test_data/Katipunan/test/VID_20200602_161933_crop.mp4,618,0.9981
D:/Ivan/Test_data/Katipunan/test/VID_20200605_161506_crop.mp4,530,0.9981
D:/Ivan/Test_data/Katipunan/test/VID_20200611_161534_crop.mp4,978,0.9981
