Videos,ActualCars,ModelCountCars,conf_thres
D:\Ivan\Test_data\Katipunan\test\VID_20200801_161505_crop.mp4,577,737,0.986
D:\Ivan\Test_data\Katipunan\test\VID_20200617_161508_crop.mp4,0,1094,0.9989
D:\Ivan\Test_data\Katipunan\test\VID_20200617_161508_crop.mp4,0,1124,0.9988
D:\Ivan\Test_data\Katipunan\test\VID_20200617_161508_crop.mp4,0,1155,0.9987
D:\Ivan\Test_data\Katipunan\test\VID_20200617_161508_crop.mp4,0,1180,0.9986
D:\Ivan\Test_data\Katipunan\test/VID_20200509_161540_crop.mp4,313,308,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200512_161525_crop.mp4,284,260,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200515_161547_crop.mp4,336,192,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200509_161540_crop.mp4,313,312,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200512_161525_crop.mp4,284,270,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200515_161547_crop.mp4,336,198,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200509_161540_crop.mp4,313,325,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200512_161525_crop.mp4,284,279,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200515_161547_crop.mp4,336,203,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200509_161540_crop.mp4,313,329,0.9986
D:\Ivan\Test_data\Katipunan\test/VID_20200512_161525_crop.mp4,284,284,0.9986
D:\Ivan\Test_data\Katipunan\test/VID_20200515_161547_crop.mp4,336,207,0.9986
D:\Ivan\Test_data\Katipunan\test/VID_20200509_161540_crop.mp4,313,344,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200512_161525_crop.mp4,284,307,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200515_161547_crop.mp4,336,233,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200521_161542_crop.mp4,386,530,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200530_161507_crop.mp4,439,597,0.9981
D:/Ivan/Test_data/Katipunan/test/VID_20200602_161933_crop.mp4,540,618,0.9981
D:/Ivan/Test_data/Katipunan/test/VID_20200605_161506_crop.mp4,588,530,0.9981
D:/Ivan/Test_data/Katipunan/test/VID_20200611_161534_crop.mp4,0,978,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200614_161517_crop.mp4,703,646,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200617_161508_crop.mp4,0,1281,0.9981
D:/Ivan/Test_data/Katipunan/test/VID_20200620_161507_crop.mp4,705,785,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200705_161518_crop.mp4,677,802,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200708_161553_crop.mp4,594,760,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200711_161516_crop.mp4,618,754,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200714_161511_crop.mp4,602,523,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200717_161614_crop.mp4,674,565,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200720_161556_crop.mp4,598,634,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200723_161518_crop.mp4,614,702,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200726_161509_crop.mp4,633,749,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200729_161519_crop.mp4,612,629,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200801_161505_crop.mp4,577,679,0.9981
